"licensee_name","doing_business_as","license_number","license_type","expiration","street_address","city","state","zip"
"THE WAFFLE LAB LLC","THE WAFFLE LAB","03-06107","Hotel & Restaurant (city)","2020-03-02","130 WEST OLIVE STREET #D","Fort Collins","CO",80524
"SOUTH COLLEGE LIQUORS INC","SOUTH COLLEGE LIQUORS","26-43411-0000","Liquor Store (city)","2020-01-16","2724 S COLLEGE AVE","Fort Collins","CO",80525
"ODELL BREWING COMPANY INC","ODELL BREWING COMPANY","04-00636","Fermented Malt Beverage Manufacturer","2019-10-03","800 & 824 EAST LINCOLN AVENUE","Fort Collins","CO",80524
"CLUBHOUSE 9 LLC","CB & POTTS CLUBHOUSE AND TAPROOM","03-09231","Brew Pub (county)","2019-08-30","1831 MULBERRY STREET","Fort Collins","CO",80524
"KWS LIQUORS INC","COTTONWOOD LIQUORS","03-05671","Liquor Store (city)","2020-02-16","3645 S COLLEGE #9","Fort Collins","CO",80525
"BL RESTAURANT OPERATIONS LLC","BAR LOUIE","03-05337","Hotel & Restaurant (city)","2019-10-05","321 EAST FOOTHILLS PARKWAY","Fort Collins","CO",80525
"POBRE PANCHO'S RESTAURANT LLC","POBRE PONCHOS","41-60682-0000","Hotel & Restaurant (city)","2020-02-08","1802 N COLLEGE AVE","Fort Collins","CO",805241333
"RJ'S WINE & SPIRITS LLC","RJ'S WINE & SPIRITS","42-91193-0000","Liquor Store (city)","2020-04-11","4321 CORBETT DR STE 100","Fort Collins","CO",80525
"SHIV.LLC","CHILL","03-04548","Tavern (county)","2019-06-30","3709 EAST MULBERRY STREET","Fort Collins","CO",80524
"CJ BECKSTED INC","SAMMYS BREAKFAST BAR","03-09348","Hotel & Restaurant (city)","2020-01-30","4613 SOUTH MASON STREET UNIT D1-2","Fort Collins","CO",80525
"COPPERMUSE INC","COPPERMUSE DISTILLERY","03-02113","Manufacturer (distillery & rectifier)","2019-11-24","244 N COLLEGE AVE SUITE 105","Fort Collins","CO",80524
"FRIEDLAN ENTERPRISES INC","SADDLE UP LIQUOR","03-49280-0000","Liquor Store (city)","2019-12-13","1015 S TAFT HILL RD","Fort Collins","CO",805214240
"V F W","ROCKY MTN POST 1781","03-15180-0000","Club License (city)","2019-06-05","603 LESSER DRIVE","Fort Collins","CO",805243221
"BAJRANGI, INC. & 7-ELEVEN, INC.","7-ELEVEN STORE 32276B","04-00765","Fermented Malt Beverage Off (city)","2019-05-13","6600 SOUTH COLLEGE AVENUE","Fort Collins","CO",80525
"LILLY-JULIAN, INC & 7-ELEVEN, INC.","7-ELEVEN 20104A","42-68666-0000","Fermented Malt Beverage Off (city)","2020-02-02","430 REMINGTON ST","Fort Collins","CO",805242911
"STEAMIES BURGER BAR LLC","STEAMIES BURGER BAR","03-09426","Hotel & Restaurant (city)","2019-09-13","234 NORTH COLLEGE AVENUE SUITE B2","Fort Collins","CO",80525
"OLD ELK DISTILLERIES LLC","OLD ELK","03-03896","Wholesale (vinous & spirituous)","2019-12-07","1713 EAST LINCOLN AVE UNIT B2","Fort Collins","CO",80524
"TOTALLY 80'S PIZZA","TOTALLY 80'S PIZZA","03-03905","Beer & Wine (city)","2019-12-25","1717 S COLLEGE AVE","Fort Collins","CO",80525
"NOAH KROENCKE","MOBB MOUNTAIN DISTILLERS","03-04374","Manufacturer (distillery & rectifier)","2019-03-27","400 LINDEN STREET","Fort Collins","CO",80524
"MAINLINE LLC","MAINLINE THE","03-01965","Hotel & Restaurant (city)","2019-10-10","125 S COLLEGE AVE","Fort Collins","CO",805242808
"NEW BELGIUM BREWING COMPANY, INC","NEW BELGIUM BREWING","04-00984","Fermented Malt Beverage Importer","2019-10-29","3620 WEICKER DRIVE","Fort Collins","CO",80524
"SIRI FOODS PVT LLC","BAWARCHI","03-06816","Hotel & Restaurant (city)","2019-09-01","1611 S COLLEGE AVE SUITE 100","Fort Collins","CO",80525
"REGIONAL FOOD LLC","THE REGIONAL","03-11020","Hotel & Restaurant (city)","2020-03-05","130 SOUTH MASON STREET","Fort Collins","CO",80524
"T.M. MAJEED INC AND 7-ELEVEN INC","7-ELEVEN STORE 13171A","42-46045-0000","Fermented Malt Beverage Off (city)","2020-04-16","505 S SHIELDS ST","Fort Collins","CO",805213557
"DURANGO SMOKED MEAT COMPANY","SERIOUS TEXAS BAR-B-Q","03-07770","Hotel & Restaurant (city)","2020-05-11","2001 SOUTH TIMBERLINE ROAD","Fort Collins","CO",80525
"RALLY KING BREWING INC","RALLY KING BREWING","03-04633","Manufacturer (brewery)","2019-06-19","1624 SOUTH LEMAY AVENUE UNIT 4","Fort Collins","CO",80525
"RARE HOSPITALITY MANAGEMENT LLC","LONGHORN STEAKHOUSE #5550","03-05317","Hotel & Restaurant (city)","2019-09-23","3450 SOUTH COLLEGE AVENUE","Fort Collins","CO",80525
"CERCA TROVA SOUTHWEST RESTAURANT GROUP, LLC","OUTBACK STEAKHOUSE","03-08428","Hotel & Restaurant (city)","2019-07-31","807 EAST HARMONY ROAD","Fort Collins","CO",80525
"WALMART INC.","WALMART STORE #2729","09-49518-0059","Fermented Malt Beverage Off (city)","2019-10-17","1250 E MAGNOLIA ST","Fort Collins","CO",80524
"J AND K SQUARED INC.","GAME DAY SPORTS GRILL","03-09644","Hotel & Restaurant (city)","2020-04-26","1027 WEST HORSETOOTH ROAD SUITE 103-111","Fort Collins","CO",80526
"CITY OF FORT COLLINS","CARNEGIE CENTER FOR CREATIVITY","03-06811","Art Gallery Permit","2019-07-19","200 MATHEWS STREET","Fort Collins","CO",80524
"GATON III INC","CANINOS ITALIAN REST","03-18612-0000","Beer & Wine (city)","2020-02-22","613 S COLLEGE AVE","Fort Collins","CO",805243003
"WASHINGTON'S, LLC","WASHINGTON'S","03-07333","Lodging & Entertainment (City)","2019-05-09","132 LAPORTE AVENUE","Fort Collins","CO",80524
"DILLON COMPANIES LLC","KING SOOPERS #97","01-10779-0191","Fermented Malt Beverage Off (city)","2019-05-15","2602 S TIMBERLINE RD","Fort Collins","CO",80525
"ELEVATION 5003 DISTILLERY, LLC","ELEVATION 5003 DISTILLERY, LLC","03-04618","Manufacturer (distillery & rectifier)","2019-06-18","2601 SOUTH LEMAY AVENUE, SUITE #8","Fort Collins","CO",80525
"FRONT RANGE REST CONCEPTS INC","AUSTINS AMERICAN GRILL","10-96772-0000","Hotel & Restaurant (city)","2019-05-13","100 WEST MOUNTAIN AVENUE","Fort Collins","CO",805242823
"MACKENZIE PLACE FORT COLLINS LLC","MACKENZIE PLACE","03-05682","Hotel & Restaurant (city)","2020-01-07","4750 PLEASANT OAK DRIVE","Fort Collins","CO",80525
"CHOICE CITY DRUG, INC","CITY DRUG","03-03754","Liquor Licensed Drug Store (city)","2019-10-17","209 NORTH COLLEGE AVE","Fort Collins","CO",80524
"EAST MOON INC","EAST MOON ASIAN BISTRO","42-11318-0000","Hotel & Restaurant (city)","2020-04-03","1624 SOUTH LEMAY AVENUE","Fort Collins","CO",805251188
"DANGER MONDAY PRODUCTIONS LLC","NICKS OF FORT COLLINS","03-04113","Hotel & Restaurant (city)","2020-02-04","1100 S COLLEGE AVE","Fort Collins","CO",80524
"PRELITERATE & LEGENDARY INC","FORGE PUBLICK HOUSE THE","42-89784-0000","Beer & Wine (city)","2019-04-04","232 WALNUT ST","Fort Collins","CO",80524
"JAWS SUSHI, LLC","JAWS SUSHI","03-01485","Hotel & Restaurant (city)","2019-07-17","1205 - A   W. Elizabeth St.","Fort Collins","CO",80521
"PERRY DOUGLAS W","CITY PARK NINE G.C.","42-69017-0000","Optional Premises (city)","2019-05-28","411 S BRYAN AVE","Fort Collins","CO",80521
"TOKYO INC","TOKYO JOE'S","23-57426-0027","Hotel & Restaurant (city)","2019-08-21","100 WEST TROUTMAN PKWY","Fort Collins","CO",805253037
"HIT SWN TRS LLC","HILTON GARDEN INN FORT COLLINS","03-06383","Hotel & Restaurant (city)","2019-05-22","2821 EAST HARMONY ROAD","Fort Collins","CO",80528
"BOWL FORT COLLINS, LLC","CHIPPER'S COLLEGE LANES","41-58976-0002","Lodging & Entertainment (City)","2019-07-09","830 NORTH COLLEGE","Fort Collins","CO",80524
"MY WAY INC","OTTO PINT","03-05757","Hotel & Restaurant (city)","2019-12-03","1100 OAKRIDGE DRIVE  UNIT A","Fort Collins","CO",80525
"7-ELEVEN INC","7-ELEVEN STORE 26803J","04-00903","Fermented Malt Beverage Off (city)","2019-09-17","2800 SOUTH COLLEGE AVENUE","Fort Collins","CO",80525
"RED LOBSTER RESTAURANTS LLC","RED LOBSTER #0393","03-04118","Hotel & Restaurant (city)","2020-02-03","3301 SOUTH COLLEGE AVENUE","Fort Collins","CO",80525
"TAMRA REAL ESTATE AGENCY U.S.A. INC","PHODUY","41-49650-0000","Beer & Wine (city)","2019-08-11","902 W DRAKE RD #D1","Fort Collins","CO",805265560
"BBK LLC","FISH'S LIQUOR MART","03-02292","Liquor Store (city)","2020-01-07","1007 E HARMONY ROAD","Fort Collins","CO",80525
"FOGO GROUP LLC THE","RODIZIO GRILL","42-65006-0000","Hotel & Restaurant (city)","2020-01-07","200 JEFFERSON ST","Fort Collins","CO",80524
"BATDOG LLC","SURFSIDE 7","42-80421-0000","Hotel & Restaurant (city)","2019-05-12","238 LINDEN ST","Fort Collins","CO",80524
"B J MANAGEMENT INC","BEAU JO'S PIZZA","12-14257-0000","Hotel & Restaurant (city)","2019-09-21","205 N COLLEGE AVE","Fort Collins","CO",805242404
"MUDDLED MANGO LLC","MAC'D UP","03-07179","Hotel & Restaurant (city)","2019-11-06","2638 SOUTH TIMBERLINE ROAD UNIT 120","Fort Collins","CO",80525
"RAINTREE ATHLETIC CLUB LLC","CAFE RAINTREE ATHLETIC CLUB THE","28-62566-0000","Lodging & Entertainment (City)","2019-12-27","2555 S SHIELDS STREET","Fort Collins","CO",805261823
"NEW BELGIUM BREWING CO INC","NEW BELGIUM BREWING CO","09-69917-0002","Manufacturer (brewery)","2020-03-30","500 LINDEN ST","Fort Collins","CO",805242426
"WE ARE ONE INC & 7-ELEVEN INC","7-ELEVEN STORE 39079B","04-00630","Fermented Malt Beverage Off (county)","2019-07-23","200 NORTH TAFT HILL ROAD","Fort Collins","CO",80521
"SMASHBURGER ACQUISITION-DENVER LLC","SMASHBURGER #1006","03-05333","Beer & Wine (city)","2019-09-23","2550 EAST HARMONY ROAD  SUITE 100","Fort Collins","CO",80528
"TOKYO INC","TOKYO JOE'S","03-07879","Beer & Wine (city)","2019-06-04","3581 EAST HARMONY ROAD SUITE 150","Fort Collins","CO",80528
"7-ELEVEN INC","7-ELEVEN STORE 25290J","04-00626","Fermented Malt Beverage Off (city)","2019-09-05","4543 BOARDWALK DRIVE","Fort Collins","CO",80525
"OPB RESTAURANTS INC","OREGANO'S PIZZA BISTRO","03-09029","Hotel & Restaurant (city)","2019-12-28","4235 SOUTH COLLEGE AVENUE","Fort Collins","CO",80525
"TRADER JOE'S COMPANY","TRADER JOE'S #304","04-00246","Fermented Malt Beverage Off (city)","2019-06-15","3500 S COLLEGE AVE  # 110","Fort Collins","CO",80525
"MBR LLC","RARE ITALIAN","03-04114","Hotel & Restaurant (city)","2020-01-27","101 S COLLEGE AVE","Fort Collins","CO",80524
"LEI LO LLC","SIMMER","03-08922","Hotel & Restaurant (city)","2020-01-17","2519 SOUTH SHIELDS SUITE 1F","Fort Collins","CO",80526
"POOL IV TRS, LLC","HILTON FORT COLLINS","03-06691","Hotel & Restaurant (city)","2019-07-17","425 WEST PROSPECT ROAD","Fort Collins","CO",80526
"IRBINE ENTERPRISES LLC","JUSTINE'S PIZZA FORT COLLINS","03-08268","Beer & Wine (city)","2019-10-03","1015 SOUTH TAFT HILL ROAD, SUITE I","Fort Collins","CO",80521
"FORT FLATS PD2 LLC","TORTILLA MARISSA'S","03-01760","Hotel & Restaurant (city)","2019-08-08","2635 S COLLEGE","Fort Collins","CO",80525
"POUDRE LIQUORS, LLC","POUDRE LIQUORS","03-01764","Liquor Store (city)","2019-08-12","814 NORTH COLLEGE AVENUE","Fort Collins","CO",80521
"LIRANO WINE BAR INC.","LIRANO WINE BAR","03-10047","Tavern (city)","2019-07-10","3600 MITCHELL DRIVE #5","Fort Collins","CO",80525
"THE BROOKLYN BREWERY CORPORATION","THE BROOKLYN BREWERY CORPORATION","03-10755","Wholesale Beer (malt liquor)","2019-12-19","1313 DUFF DRIVE UNIT 2","Fort Collins","CO",80524
"HARBINGER COFFEE LLC","HARBINGER COFFEE","03-07229","Beer & Wine (city)","2019-12-06","505 SOUTH MASON STREET SUITE 100","Fort Collins","CO",80524
"CABANA LLC","RALLY 5","03-07632","Hotel & Restaurant (city)","2020-03-08","2310 EAST HARMONY ROAD SUITE 101","Fort Collins","CO",80528
"CAFE MEXICALI LLC","CAFE MEXICALI","42-19422-0000","Hotel & Restaurant (city)","2020-03-21","2925 S COLLEGE AVE","Fort Collins","CO",805252595
"JESKIS INC","SUEHIRO JAPANESE RESTAURANT","03-05670","Hotel & Restaurant (city)","2020-01-25","4431 CORBETT DRIVE SUITE 104","Fort Collins","CO",80525
"SAFEWAY STORE FORTY SIX INC","SAFEWAY STORE #1552","21-70664-0044","Fermented Malt Beverage Off (city)","2019-12-04","1426 E HARMONY RD","Fort Collins","CO",805253301
"OVATIONS FOOD SERVICES LP","OVATIONS AT SONNY LUBICK STADIUM","03-07614","Hotel & Restaurant (city)","2020-03-16","751 WEST PITKIN STREET","Fort Collins","CO",80523
"CCC'S ARMSTRONG LLC","ARMSTRONG HOTEL / ACE GILLETTE'S","03-08582","Hotel & Restaurant (city)","2019-10-10","259 SOUTH COLLEGE AVENUE","Fort Collins","CO",80524
"NEW BELGIUM BREWING CO INC","NEW BELGIUM BREWING CO INC","09-69917-0004","Fermented Malt Beverage Manufacturer","2019-03-21","500 LINDEN ST","Fort Collins","CO",80524
"THAI STATION","THAI STATION","03-10720","Hotel & Restaurant (city)","2019-10-24","626 SOUTH COLLEGE AVENUE","Fort Collins","CO",80524
"NEW BELGIUM BREWING COMPANY, INC","NEW BELGIUM BREWING CO","03-02821","Alternating Proprietor Premises",NULL,"500 LINDEN STREET","Fort Collins","CO",80524
"FUNKWERKS, LLC","FUNKWERKS","04-00983","Fermented Malt Beverage Manufacturer","2019-10-23","1313 DUFF DRIVE UNIT 2","Fort Collins","CO",80524
"TOKYO INC","TOKYO JOE'S","03-00219","Hotel & Restaurant (city)","2019-08-21","2519 S SHIELDS ST STE C","Fort Collins","CO",80526
"MOUNTAIN WHITEWATER INC","MOUNTAIN WHITEWATER","03-88324-0000","Beer & Wine (county)","2019-06-15","1329 N US HWY 287","Fort Collins","CO",805241080
"APPLE COLORADO LLC","APPLEBEES NEIGHBORHOOD GRILL & BAR","03-00740","Hotel & Restaurant (city)","2020-02-06","4306 S COLLEGE AVE","Fort Collins","CO",80525
"HORSETOOTH SPIRITS & MARKETPLACE CORP","HORSETOOTH SPIRITS & MARKETPLACE CORP","03-11301","Liquor Store (county)","2020-02-27","4701 WEST COUNTY ROAD 38 E","Fort Collins","CO",80526
"KUNG FOOD KITCHEN INC","SIMPLY THAI","28-66948-0002","Beer & Wine (city)","2019-04-25","2531 S SHIELDS ST 2-M","Fort Collins","CO",805261886
"GMRI INC","OLIVE GARDEN ITALIAN RESTAURANT NO 376","11-70100-0018","Hotel & Restaurant (city)","2020-01-21","3905 S COLLEGE AVE","Fort Collins","CO",805253014
"FOCO VENTURES","LITTLE BIG'S","04-00797","Fermented Malt Beverage Off (county)","2019-09-24","4025 WEST COUNTY ROAD 38 E","Fort Collins","CO",80526
"HORSE & DRAGON BREWING COMPANY LLC","HORSE & DRAGON BREWING COMPANY","03-02409","Wholesale Beer (malt liquor)","2020-01-21","124 RACQUETTE DR","Fort Collins","CO",80524
"FEISTY SPIRITS LLC","FEISTY SPIRITS","14-73011-0002","Manufacturer (distillery & rectifier)","2019-04-30","1708 EAST LINCOLN AVENUE  UNITS 1,2&3","Fort Collins","CO",805242792
"FCTDM1 LLC","MATADOR MEXICAN GRILL","42-34014-0000","Beer & Wine (city)","2019-05-01","1823 E HARMONY","Fort Collins","CO",805283446
"ROCKIES HOTEL MANAGEMENT INC","RESIDENCE INN BY MARRIOTT","03-08098","Beer & Wine (city)","2019-10-16","1127 OAKRIDGE DRIVE","Fort Collins","CO",80525
"ODELL GOLF LLC","MOUNTAIN VISTA GREENS","14-49255-0000","Optional Premises (county)","2020-03-13","2808 NE FRONTAGE RD","Fort Collins","CO",805249356
"ZOE'S COLORADO,LLC","ZOE'S KITCHEN","03-06497","Beer & Wine (city)","2019-05-22","3100 SOUTH COLLEGE AVENUE, SUITE 130","Fort Collins","CO",80525
"CITY OF FT COLLINS","NORTHSIDE AZTLAN COMMUNITY CENTER","03-01951-0001","Hotel & Restaurant (city)","2020-02-02","112 E WILLOW","Fort Collins","CO",80524
"SAPPHIRE EVENTS LLC","SAPPHIRE EVENTS","03-04845","Hotel & Restaurant (city)","2019-07-14","408 MASON COURT","Fort Collins","CO",80524
"ALTITUDE BURGER LLC","SMASHBURGER #1420","03-05489","Beer & Wine (city)","2019-11-05","3300 SOUTH COLLEGE AVENUE  UNIT #110","Fort Collins","CO",80525
"WELSH RABBIT CHEESE BISTRO LTD THE","WELSH RABBIT CHEESE BISTRO THE","03-02218","Hotel & Restaurant (city)","2019-12-12","200 WALNUT ST UNIT B","Fort Collins","CO",80524
"ENVY BREWING INC","ENVY BREWING","03-10818","Brew Pub (city)","2019-12-19","3027 EAST HARMONY ROAD SUITE 2","Fort Collins","CO",80528
"NEIGHBORHOOD LIQUORS LLC","NEIGHBORHOOD LIQUOR","03-02827","Liquor Store (city)","2020-04-06","4631 S MASON ST STE B2","Fort Collins","CO",80525
"ABSOLUTE THRESHOLD BREWERY LLC","INTERSECT BREWING","03-06098","Wholesale Beer (malt liquor)","2019-04-03","2160 WEST DRAKE ROAD STE A-1","Fort Collins","CO",80526
"TASTY HARMONY, LLC.","TASTY HARMONY","03-05154","Hotel & Restaurant (city)","2019-09-21","160 WEST OAK STREET","Fort Collins","CO",80524
"RISE! A BREAKFAST PLACE LLC","RISE! A BREAKFAST PLACE","03-02820","Hotel & Restaurant (city)","2019-04-08","2601 S LEMAY AVE STE 31","Fort Collins","CO",80525
"BEC ENTERPRISES INC","WILD BOAR THE","15-60261-0000","Hotel & Restaurant (city)","2019-11-18","1510 S COLLEGE AVE","Fort Collins","CO",805244116
"LAYALINA LLC","OLD TOWN LIQUOR","42-71694-0000","Liquor Store (city)","2019-09-22","214 S COLLEGE AVE","Fort Collins","CO",805242870
"NYALA ETHIOPIAN CUISINE LLC","NYALA ETHIOPIAN CUISINE","41-76965-0000","Hotel & Restaurant (city)","2019-07-13","2900 HARVARD #A","Fort Collins","CO",805252106
"WING SHACK ENTERPRISES INC","WING SHACK","03-05758","Beer & Wine (city)","2019-12-06","1011 SOUTH LEMAY AVENUE","Fort Collins","CO",80524
"BLAZIN WINGS INC","BUFFALO WILD WINGS","07-73512-0008","Hotel & Restaurant (city)","2019-02-07","150 E HARMONY RD #2A","Fort Collins","CO",805258007
"EMPORIUM SPORTS BAR LLC","EMPORIUM SPORTS BAR","03-09498","Tavern (city)","2019-06-19","925 SOUTH TAFT HILL ROAD SUITE 1","Fort Collins","CO",80521
"LEE YOUNG JOO","PROSPECT LIQUORS","40-83657-0000","Liquor Store (city)","2019-12-25","1115 W PROSPECT RD #105","Fort Collins","CO",805267700
"PANHANDLER'S PIZZA, LLC","PANHANDLER'S PIZZA","03-09768","Beer & Wine (city)","2019-06-05","2721 SOUTH COLLEGE AVENUE, UNIT 4B","Fort Collins","CO",80525
"YOUNG'S LIQUOR INC","YOUNG'S LIQUOR","03-44094-0000","Liquor Store (county)","2019-12-26","1432 E MULBERRY UNIT A","Fort Collins","CO",805243518
"TRAN SON ANH DOAN KATHY","CREEKSIDE LIQUOR","40-16997-0000","Liquor Store (city)","2019-11-07","1005 W STUART","Fort Collins","CO",805265620
"RHEE & SUH COMPANY INC","SUH","42-63021-0000","Beer & Wine (city)","2019-11-18","200 W PROSPECT RD","Fort Collins","CO",805252002
"MULBERRY WINE & SPIRITS, INC","MULBERRY MAX WINE & SPIRITS","03-04238","Liquor Store (city)","2020-02-10","460 S COLLEGE AVE STE G","Fort Collins","CO",80524
"NICSCO LLC","SUNDANCE STEAKHOUSE & SALOON","03-06711","Hotel & Restaurant (county)","2019-07-26","2716 EAST MULBERRY STREET","Fort Collins","CO",80524
"CHARCO BROILER INC","CHARCO BROILER","03-37894-0000","Hotel & Restaurant (county)","2019-10-29","1716 E MULBERRY","Fort Collins","CO",80524
"JJ'S BAR & GRILL LLC","JJ'S BAR & GRILL","03-02803","Tavern (county)","2019-05-12","4015 S. TAFTHILL ROAD","Fort Collins","CO",80526
"MARGARITAS ENTERPRISES INC","3 MARGARITAS","03-03421","Hotel & Restaurant (city)","2019-08-27","4010 S COLLEGE AVENUE","Fort Collins","CO",80525
"J.J. LINDEN STREET, LLC","BLIND PIG PUB THE","03-00683","Hotel & Restaurant (city)","2020-01-14","214 LINDEN ST","Fort Collins","CO",80524
"SHELLABELLA ENTERPRISES INC","DOMENICS","41-51037-0000","Hotel & Restaurant (city)","2019-10-28","931 E HARMONY RD #3","Fort Collins","CO",805257591
"TIVINE LLC","ISLAND GRILL","41-60120-0000","Hotel & Restaurant (city)","2020-02-28","2601 S LEMAY AVE STE 12","Fort Collins","CO",805252295
"FRIESIAN GROUP LLC","TOM AND CHEE","03-05150","Beer & Wine (city)","2019-08-20","2909 EAST HARMONY ROAD #2","Fort Collins","CO",80528
"CEC ENTERTAINMENT INC","CHUCK E CHEESE'S 865","22-22093-0003","Hotel & Restaurant (city)","2020-01-27","105 W PROSPECT","Fort Collins","CO",80525
"PUBLICK HOUSE LLC","WOLVERINE FARM LETTERPRESS & PUBLIK HOUSE","03-04760","Beer & Wine (city)","2019-05-10","316 WILLOW ST","Fort Collins","CO",80524
"RAINBOW LTD","RAINBOW RESTAURANT","03-12957-0000","Hotel & Restaurant (city)","2019-06-11","212 W LAUREL ST","Fort Collins","CO",805242809
"WADSWORTH OLD CHICAGO INC","OLD CHICAGO","22-83489-0008","Hotel & Restaurant (city)","2019-07-16","4709 SOUTH TIMBERLINE ROAD","Fort Collins","CO",80528
"REST & RELAXATION LLC","REST & RELAXATION LLC","03-06136","Wholesale (vinous & spirituous)","2019-05-04","2506 ZURICH DRIVE UNIT 4B","Fort Collins","CO",80524
"SNACK ATTACK SPECIALTY SANDWICHES & BREWS LLC","SNACK ATTACK SPECIALTY SANDWICHES & BREWS","03-07945","Beer & Wine (city)","2020-05-10","120 WEST STUART STREET UNIT A","Fort Collins","CO",80525
"DAM GOOD SYSTEMS","DAM GOOD TACOS","03-07769","Beer & Wine (city)","2019-05-09","120 1/2 WEST LAUREL STREET","Fort Collins","CO",80524
"TWIN OWLS MOTOR LODGE INC.","SUSHI ZENSAI LINDEN","03-10317","Hotel & Restaurant (city)","2020-02-04","223 LINDEN STREET","Fort Collins","CO",80524
"SNOWBANK BREWING LLC","SNOWBANK BREWING","03-02637","Wholesale Beer (malt liquor)","2020-03-05","225 NORTH LEMAY AVE  UNIT 1 & 8","Fort Collins","CO",80524
"JEET INC.","EVERYDAY STORES 5708","04-00276","Fermented Malt Beverage Off (city)","2019-12-14","949 S TAFT HILL RD","Fort Collins","CO",80522
"SZEKELY PIERRE JEAN-MARIE","DESPAGNE IMPORTS","03-10728","Importer (vinous & spirituous)","2019-10-31","1312 CASA GRANDE BLVD","Fort Collins","CO",80526
"VALERO INC","VALERO INC","04-01035","Fermented Malt Beverage Off (city)","2019-12-09","1660 NORTH COLLEGE AVENUE","Fort Collins","CO",80524
"CRITERION GROUP LLC THE","THE MELTING POT","41-59276-0000","Hotel & Restaurant (city)","2019-09-09","334 E MOUNTAIN AVE","Fort Collins","CO",805242914
"PESTER MARKETING COMPANY","ALTA #6130","04-00766","Fermented Malt Beverage Off (city)","2019-05-13","1113 WEST DRAKE ROAD","Fort Collins","CO",80526
"THE GREEK CONNECTION INC","THE WHISKEY @ TONY'S RESTAURANT","03-42056-0000","Tavern (city)","2020-02-02","224 S COLLEGE AVE","Fort Collins","CO",805242811
"AZTECH SYSTEMS INC,","GILDED GOAT BREWING COMPANY","03-06377","Wholesale Beer (malt liquor)","2020-04-18","3500 SOUTH COLLEGE AVENUE UNIT 194","Fort Collins","CO",80525
"B & C NOCO LLC","METRO","03-10719","Hotel & Restaurant (city)","2019-10-24","130 WEST LAUREL STREET","Fort Collins","CO",80524
"KSW LLC","LEMAY LIQUORS","03-03006","Liquor Store (city)","2019-06-22","737 S LEMAY AVE #B2","Fort Collins","CO",80524
"THE LOAFING SHED LLC","CACCIATORE AT HELLER'S KITCHEN","03-06255","Hotel & Restaurant (city)","2019-04-28","1939 JESSUP DRIVE STE 110","Fort Collins","CO",80525
"PRINGLE ENTERPRISES INC","PRINGLE BROS FINE WINE & SPIRITS","03-40211-0000","Liquor Store (city)","2020-02-04","2100 W DRAKE NO 11","Fort Collins","CO",80526
"THE GOLD LEAF COLLECTIVE LLC","THE GOLD LEAF","03-10647","Beer & Wine (city)","2020-01-13","120 WEST LAUREL STREET UNIT A & B","Fort Collins","CO",80524
"OLD WORLD FOODS LLC","CAFE ATHENS","42-61771-0001","Hotel & Restaurant (city)","2019-07-31","2842 COUNCIL TREE AVE STE 149","Fort Collins","CO",805256317
"COSTCO WHOLESALE CORPORATION","SHAELIN REBECCA RADFORD","03-10256","Manager Permit (LLDS)","2019-07-23","2450 WINDROW DRIVE E207","Fort Collins","CO",80525
"CHILI HOUSE ORIENTAL CUISINE INC","CHILI HOUSE ORIENTAL CUISINE","41-53343-0000","Hotel & Restaurant (city)","2020-01-13","4200 S COLLEGE AVE #110","Fort Collins","CO",805253019
"FOCO CONCEPTS LLC","STUFT","42-79154-0000","Hotel & Restaurant (city)","2019-04-15","210 SOUTH COLLEGE AVENUE","Fort Collins","CO",805242811
"WING & TONG INC","EAST MOON ASIAN BISTRO & HIBACHI","42-60105-0000","Hotel & Restaurant (city)","2019-10-22","2400 E HARMONY RD STE 102","Fort Collins","CO",805283425
"LOS COMPAYITOS INC","CANCUN MEXICAN GRILL","03-09514","Hotel & Restaurant (city)","2019-10-10","2567 SOUTH SHIELDS STREET SUITE 4D","Fort Collins","CO",80526
"JUGNU INC","TAJ-MAHAL RESTAURANT","07-44102-0000","Hotel & Restaurant (city)","2019-09-12","148 W OAK ST","Fort Collins","CO",805242883
"YOUNGS CAFE LTD","YOUNGS CAFE","03-44988-0000","Hotel & Restaurant (city)","2019-05-04","3307 S COLLEGE #114","Fort Collins","CO",805254196
"PESTER MARKETING CO","ALTA CONVENIENCE","80-24116-0108","Fermented Malt Beverage Off (county)","2019-08-15","4TH & BEAUBIEN AVE","Fort Garland","CO",81133
"SILVER SAGE STEAKHOUSE LLC","SILVER SAGE STEAK HOUSE","42-54868-0000","Hotel & Restaurant (county)","2019-03-24","104 STATE HWY 160","Fort Garland","CO",81133
"MAMA LU'S INC","OLD WEST CAFE","42-08289-0002","Hotel & Restaurant (county)","2019-07-08","403 MIRANDA","Fort Garland","CO",81133
"TOCZEK ANDRZEJ","EL DORADO LIQUOR","40-09612-0000","Liquor Store (county)","2020-04-15","451 HWY 160","Fort Garland","CO",81133
"HIGH ALTITUDE CONVENIENCE LLC","HIGH ALTITUDE LIQUOR","03-08256","Liquor Store (county)","2020-01-03","316 MIRANDA AVENUE","Fort Garland","CO",81133
"TRINCHERA H & R INC","TRINCHERA RANCH","03-02498","Hotel & Restaurant (county)","2020-02-20","24492 TRINCHERA RD","Fort Garland","CO",81133
"FT LUPTON RISTORANTE LLC","WHOLLY STROMBOLI","42-83203-0000","Hotel & Restaurant (city)","2019-10-28","410 DENVER AVE","Fort Lupton","CO",80621
